Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,Calling,146.520000,,0.000000,,100.0,88.5,023,NN,FM,5.00,,,,,,
1,Simplex1,146.430000,,0.000000,,100.0,88.5,023,NN,FM,5.00,,,,,,
2,Simplex2,146.460000,,0.000000,,100.0,88.5,023,NN,FM,5.00,,,,,,
3,Simplex3,146.490000,,0.000000,,100.0,88.5,023,NN,FM,5.00,,,,,,
4,Simplex4,146.550000,,0.000000,,100.0,88.5,023,NN,FM,5.00,,,,,,
5,Simplex5,146.580000,,0.000000,,100.0,88.5,023,NN,FM,5.00,,,,,,
6,Simplex6,147.420000,,0.000000,,100.0,88.5,023,NN,FM,5.00,,,,,,
7,Simplex7,147.450000,,0.000000,,100.0,88.5,023,NN,FM,5.00,,,,,,
8,Simplex8,147.480000,,0.000000,,100.0,88.5,023,NN,FM,5.00,,,,,,
9,Simplex9,147.510000,,0.000000,,100.0,88.5,023,NN,FM,5.00,,,,,,
10,Simplex10,147.540000,,0.000000,,100.0,88.5,023,NN,FM,5.00,,,,,,
11,Alpine/SMtn,145.270000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
12,BlackMtn,147.120000,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
13,BlackMtn,146.880000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
14,EldenMt,146.980000,-,0.600000,,100.0,88.5,023,NN,FM,5.00,,,,,,
15,EldenMt,448.475000,-,5.000000,,100.0,88.5,023,NN,FM,5.00,,,,,,
16,EldenMt,448.875000,-,5.000000,,100.0,88.5,023,NN,FM,5.00,,,,,,
17,EldenMtLNK,147.140000,+,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
18,FtThomas,146.940000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
19,GreensLNK,146.720000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
20,GreensLNK,448.375000,-,5.000000,,100.0,88.5,023,NN,FM,5.00,,,,,,
21,GuthriePk,147.280000,-,0.600000,,100.0,88.5,023,NN,FM,5.00,,,,,,
22,GuthriePk,145.390000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
23,HeliographPk,146.860000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
24,HeliographPk,146.900000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
25,HeliographPk,440.650000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
26,HeliographPk,440.700000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
27,HeliographPk,447.825000,+,5.000000,,100.0,88.5,023,NN,FM,5.00,,,,,,
28,JacksPk,145.210000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
29,LemmonMt,147.160000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
30,MonumentPk,449.180000,-,5.000000,,100.0,88.5,023,NN,FM,5.00,,,,,,
31,MonumentPk,147.240000,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
32,OrdMt,146.920000,-,0.600000,,100.0,88.5,023,NN,FM,5.00,,,,,,
33,OrdMt,444.500000,+,5.000000,,100.0,88.5,023,NN,FM,5.00,,,,,,
34,OrdMtLNK,147.360000,+,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
35,PinalMtLNK,145.410000,-,0.600000,,100.0,88.5,023,NN,FM,5.00,,,,,,
36,PinalMtLNK,147.200000,+,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
37,ShawButte,147.240000,+,0.600000,,100.0,88.5,023,NN,FM,5.00,,,,,,
40,ShawButte,449.525000,-,5.000000,,100.0,88.5,023,NN,FM,5.00,,,,,,
41,SmithPk,146.680000,-,0.600000,,100.0,88.5,023,NN,FM,5.00,,,,,,
42,SmithPk,147.120000,+,0.600000,,100.0,88.5,023,NN,FM,5.00,,,,,,
43,SmithPkLNK,443.775000,+,5.000000,,100.0,88.5,023,NN,FM,5.00,,,,,,
44,SuprStitnMtn,146.670000,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
45,WhiteTanksMtn,146.940000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
46,WhiteTanksMtn,441.725000,+,5.000000,,100.0,88.5,023,NN,FM,5.00,,,,,,
