Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Operating Mode	Name	Show Name	Tone Mode	CTCSS Tone	DCS Code	Step	Clock Shift	Tx Power	Narrow	Bank 1	Bank 2	Bank 3	Bank 4	Bank 5	Bank 6	Bank 7	Bank 8	Bank 9	Bank 10	Bank 11	Bank 12	Bank 13	Bank 14	Bank 15	Bank 16	Bank 17	Bank 18	Bank 19	Bank 20	Comment
1	145.21000	144.61000	600 kHz	Minus	FM	JACKS	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
2	145.27000	144.67000	600 kHz	Minus	FM	ALPINE	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
3	145.39000	144.79000	600 kHz	Minus	FM	GUTHRI	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
4	145.41000	144.81000	600 kHz	Minus	FM	PINAL	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
5	146.64000	146.04000	600 kHz	Minus	FM	BANK O	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
6	146.68000	146.08000	600 kHz	Minus	FM	SMITH	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
7	146.72000	146.12000	600 kHz	Minus	FM	LINK G	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
8	146.76000	146.16000	600 kHz	Minus	FM	SCOTTS	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
9	146.92000	146.32000	600 kHz	Minus	FM	MT ORD	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
10	146.94000	146.34000	600 kHz	Minus	FM	WHITE	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
