Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,CALLING,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,SIMPLEX,146.430000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,SIMPLEX,146.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,SIMPLEX,146.490000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,SIMPLEX,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,SIMPLEX,146.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,SIMPLEX,147.420000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,SIMPLEX,147.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,SIMPLEX,147.480000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,SIMPLEX,147.510000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,SIMPLEX,147.540000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,ALPINE/,145.270000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
12,BILLWIL/,146.780000,-,0.600000,Tone,91.5,88.5,023,NN,FM,5.00,,,,,,
13,BLACKMT,147.120000,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
14,BLACKMT,146.880000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
15,ELDENMT,146.980000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,ELDUHF1,448.475000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,ELDUHF2,448.875000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,ELDNLNK,147.140000,+,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
19,FTTHOMA,146.940000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
20,GREENSL,146.720000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
21,GREENSL,448.375000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,GUTHRIE,147.280000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
23,GUTHRIE,145.390000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
24,HELIOGR,146.860000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
25,HELIOGR,146.900000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
26,HELIOGR,440.650000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
27,HELIOGR,440.700000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
28,HELIOGR,447.825000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
29,JACKSPK,145.210000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
30,LEMMONM,147.160000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
31,MONUMEN,449.180000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
32,MONUMEN,147.240000,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
33,ORDMT,146.920000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,ORDMT,444.500000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
35,ORDMTLN,147.360000,+,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
36,PINALMT,145.410000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,PINALMT,147.200000,+,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
38,SHAWBUT,147.240000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
39,SHAWBUT,449.525000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
40,SMITHPK,146.680000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
41,SMITHPK,147.120000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
42,SMITHPK,443.775000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
43,SUPRSTI,146.670000,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
44,WHITETA,146.940000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
45,WHITETA,441.725000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
46,WEATHER,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
