Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,Tx Power,Skip,Step,Mask,Clock Shift,Half Dev,Bank 1,Bank 2,Bank 3,Bank 4,Bank 5,Bank 6,Bank 7,Bank 8,Bank 9,Comment,Icon
1,146.52,146.52,600 kHz,Simplex,FM,Calling,None,100 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
2,146.43,146.43,600 kHz,Simplex,FM,Simplex1,None,100 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
3,146.46,146.46,600 kHz,Simplex,FM,Simplex2,None,100 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
4,146.49,146.49,600 kHz,Simplex,FM,Simplex3,None,100 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
5,146.55,146.55,600 kHz,Simplex,FM,Simplex4,None,100 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
6,146.58,146.58,600 kHz,Simplex,FM,Simplex5,None,100 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
7,147.42,147.42,600 kHz,Simplex,FM,Simplex6,None,100 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
8,147.45,147.45,600 kHz,Simplex,FM,Simplex7,None,100 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
9,147.48,147.48,600 kHz,Simplex,FM,Simplex8,None,100 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
10,147.51,147.51,600 kHz,Simplex,FM,Simplex9,None,100 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
11,147.54,147.54,600 kHz,Simplex,FM,Simplex10,None,100 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
12,145.27,144.67,600 kHz,Minus,FM,Alpine/SMtn,Enc,141.3 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
13,147.12,147.72,600 kHz,Plus,FM,BlackMtn,Enc,103.5 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
14,146.88,146.28,600 kHz,Minus,FM,BlackMtn,Enc,162.2 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
