Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Operating Mode	Name	Tone Mode	CTCSS	DCS	Tx Power	Skip	Step	Mask	Clock Shift	Half Dev	Bank 1	Bank 2	Bank 3	Bank 4	Bank 5	Bank 6	Bank 7	Bank 8	Bank 9	Comment	Icon	
1	145.17000	144.57000	600 kHz	Minus	FM	PortRpt	Tone	162.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
2	145.21000	144.61000	600 kHz	Minus	FM	JacksPk	Tone	141.3 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
3	145.27000	144.67000	600 kHz	Minus	FM	SouthMtn	Tone	141.3 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
4	145.39000	144.79000	600 kHz	Minus	FM	GuthriPk	Tone	141.3 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
5	145.41000	144.81000	600 kHz	Minus	FM	PinalPk	Tone	141.3 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
6	146.64000	146.04000	600 kHz	Minus	FM	BankOne	Tone	162.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
7	146.68000	146.08000	600 kHz	Minus	FM	SmithPk	Tone	162.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
8	146.72000	146.12000	600 kHz	Minus	FM	GreensPk	Tone	162.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
9	146.76000	146.16000	600 kHz	Minus	FM	Scotsdal	Tone	162.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
10	146.92000	146.32000	600 kHz	Minus	FM	Mt Ord	Tone	162.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
11	146.94000	146.34000	600 kHz	Minus	FM	WtTnksMt	Tone	162.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
12	146.94000	146.34000	600 kHz	Minus	FM	FtThomas	Tone	141.3 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
13	146.70000	146.10000	600 kHz	Minus	FM	GreensPk	Tone	141.3 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
14	146.86000	146.26000	600 kHz	Minus	FM	HliogfPk	Tone	141.3 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
15	146.90000	146.30000	600 kHz	Minus	FM	HliogfPk	Tone	141.3 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
16	146.98000	146.38000	600 kHz	Minus	FM	Mt Elden	Tone	162.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
17	147.14000	147.74000	600 kHz	Plus	FM	EldenLNK	Tone	162.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
18	147.16000	146.56000	600 kHz	Minus	FM	MtLemmon	Tone	141.3 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
19	147.20000	147.80000	600 kHz	Plus	FM	PinalLNK	Tone	162.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
20	147.24000	147.84000	600 kHz	Plus	FM	ShawButt	Tone	162.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
21	147.28000	146.68000	600 kHz	Minus	FM	GuthriPk	Tone	141.3 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
22	147.36000	147.96000	600 kHz	Plus	FM	MtOrdLNK	Tone	162.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
